"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 16:39:32 IST 2023","Tue Apr 04 16:39:34 IST 2023","2517","","Verifiction of Different Types of Alerts","","","","Verification of Confirm alert ",""
"passed","Tue Apr 04 16:41:02 IST 2023","Tue Apr 04 16:41:05 IST 2023","2470","","Modal Functionality","","","","Verification large Modal ",""
"passed","Tue Apr 04 16:40:36 IST 2023","Tue Apr 04 16:40:45 IST 2023","9489","","Verifiction of iFrames","","","","Verify iFrame 1  ",""
"passed","Tue Apr 04 16:39:19 IST 2023","Tue Apr 04 16:39:24 IST 2023","5604","","Verifiction of Different Types of Alerts","","","","Verification of see alert button ",""
"passed","Tue Apr 04 16:40:13 IST 2023","Tue Apr 04 16:40:14 IST 2023","1443","","Browser Window Handling","","","","Verification of New Window ",""
"passed","Tue Apr 04 16:39:35 IST 2023","Tue Apr 04 16:39:36 IST 2023","1475","","Verifiction of Different Types of Alerts","","","","Verification of Prompt alert ",""
"failed","Tue Apr 04 16:41:17 IST 2023","Tue Apr 04 16:41:22 IST 2023","4582","","Nested Functionality","","","","Verification of NestedFrame ",""
"failed","Tue Apr 04 16:40:53 IST 2023","Tue Apr 04 16:41:02 IST 2023","9424","","Modal Functionality","","","","Verification small Modal ",""
"passed","Tue Apr 04 16:40:08 IST 2023","Tue Apr 04 16:40:13 IST 2023","4652","","Browser Window Handling","","","","Verification of New Tab ",""
"passed","Tue Apr 04 16:39:47 IST 2023","Tue Apr 04 16:40:00 IST 2023","13541","","Books Store Functionality","","","","Verification of Book Store ",""
"passed","Tue Apr 04 16:40:45 IST 2023","Tue Apr 04 16:40:47 IST 2023","1986","","Verifiction of iFrames","","","","Verify iFrame 2  ",""
"passed","Tue Apr 04 16:40:14 IST 2023","Tue Apr 04 16:40:16 IST 2023","1539","","Browser Window Handling","","","","Verification of New Window Message ",""
"passed","Tue Apr 04 16:40:26 IST 2023","Tue Apr 04 16:40:30 IST 2023","4824","","Practice Form Functionality","","","","Verification of Practice Form ",""
"passed","Tue Apr 04 16:39:24 IST 2023","Tue Apr 04 16:39:32 IST 2023","7542","","Verifiction of Different Types of Alerts","","","","Verification of see timer alert after 5 Sec",""
